input,output
Haa https://youtu.be/Hej48pi_lOc?si=OhJdiwB9RJCDSqx2 Humara alag alag doc bana 👍🏼 Kutrya,"You deleted this message #include <stdio.h> //function prototype // void firstFitALgorithm(); // void bestFitALgorithm(); // void worstFitALgorithm(); struct process { int size, empty; }; int main() { printf(""_____Placement Algorithm_____\n""); int no_of_partitions, allocated; printf(""Enter the number of partitions of the memory : ""); scanf(""%d"",&no_of_partitions); printf(""Enter the number of processes to be allocated in the memory : ""); scanf(""%d"",&allocated); int memory_partition[no_of_partitions][2]; struct process processes[allocated]; printf(""Enter the size of partitions in the memory\n""); for(int i = 0;i < no_of_partitions; i ++) { scanf(""%d"",&memory_partition[i][0]); memory_partition[i][1] = 0; } printf(""Enter the size of processes\n""); for(int i = 0;i < allocated; i ++) { scanf(""%d"",&processes[i].size); processes[i].empty = 0; } printf(""_____________First Fit Placement Algorithm___________\n""); // firstFitALgorithm(memory_partition, no_of_partitions, processes, allocated); for(int j = 0; j < allocated; j ++) { for(int i = 0; i < no_of_partitions; i ++) { if(memory_partition[i][0] >= processes[j].size) { if(memory_partition[i][1] == 0) { memory_partition[i][1] = processes[j].size; processes[j].empty = 1; break; } } } } printf(""Size\tProcess_Size\n""); for(int i = 0; i < no_of_partitions; i ++) { printf(""%d\t%d\n"",memory_partition[i][0],memory_partition[i][1]); memory_partition[i][1] = 0; } printf(""_____________Best Fit Placement Algorithm___________\n""); int compatible = 0; for(int j = 0; j < allocated; j ++) { for(int i = 0;i < no_of_partitions; i ++) { if(memory_partition[compatible][0] < memory_partition[i][0]){ if(memory_partition[i][1] == 0){ compatible = i; } } } for(int i = 0; i < no_of_partitions; i ++) { if(memory_partition[i][0] >= processes[j].size) { if(memory_partition[i][0] < memory_partition[compatible][0]) { if(memory_partition[i][1] == 0) { compatible = i; } } } } memory_partition[compatible][1] = processes[j].size; processes[j].empty = 1; } printf(""Size\tProcess_Size\n""); for(int i = 0; i < no_of_partitions; i ++) { printf(""%d\t%d\n"",memory_partition[i][0],memory_partition[i][1]); memory_partition[i][1] = 0; } printf(""_____________Worst Fit Placement Algorithm___________\n""); for(int i = 0;i < no_of_partitions; i ++) { for(int j = i + 1; j < no_of_partitions; j ++) { if(memory_partition[i][0] < memory_partition[j][0]) { int temp = memory_partition[i][0]; memory_partition[i][0] = memory_partition[j][0]; memory_partition[j][0] = temp; } } } for(int j = 0; j < allocated; j ++) { for(int i = 0; i < no_of_partitions; i ++) { if(memory_partition[i][0] >= processes[j].size) { if(memory_partition[i][1] == 0) { memory_partition[i][1] = processes[j].size; processes[j].empty = 1; break; } } } } printf(""Size\tProcess_Size\n""); for(int i = 0; i < no_of_partitions; i ++) { printf(""%d\t%d\n"",memory_partition[i][0],memory_partition[i][1]); } return 0; } // void firstFitALgorithm(int **memory_partition, int no_of_partitions, struct process *processes, int allocated) { // } // void bestFitALgorithm(int memory_partition[][], int no_of_partitions, int processes[], int allocated) { // } // void worstFitALgorithm(int memory_partition[][], int no_of_partitions, int processes[], int allocated) { // }"
What's this,Ui
Okk,Wireframe he
Acha,Badme color karke bhejta hu
"Ha chalse 👍🏿👍🏿 This message was deleted #include <stdio.h> int isEven(int variable){ if(variable%2==0) return 1; else return 0; } int main() { int randomvariable,num1,num2,fake,Solution,choice,option; do{ randomvariable = rand() % 85 + 1; //printf(""Randomvariable is :%d \n"",randomvariable); printf(""MENU OPTIONS\n""); printf(""************\n""); printf(""1. Addition\n""); printf(""2. Subtraction\n""); // printf(""3. Multiplication\n""); // printf(""4. Division\n""); // printf(""5. Modulus\n""); printf(""6. Exit\n""); printf(""\n""); printf(""Enter two numbers and your choice:\n""); scanf(""%d %d "",&num1,&num2); scanf(""%d"", &choice); switch(choice){ case 1: fake=num1; if(isEven(randomvariable)) fake=num1+1; Solution=fake+num2; printf(""Addition of the two numbers is %d\n"",Solution); printf(""Is the answer Correct yes or no ??(1/0)\n""); scanf(""%d"",&option); if(option==1 && num1+num2!=Solution) printf(""Bade heavy driver ho ji\n""); else if(option==1 && num1+num2==Solution) printf(""Thikke sahi answer hai\n""); else if(option==0 && num1+num2==Solution) printf(""Sahi answer to diye hai\n""); else if(option==0 && num1+num2!=Solution){ printf(""Fir sahai answer kya hai ?\n""); scanf(""%d"",&fake); if(fake==num1+num2) printf(""Sahi answer hai\n""); else printf(""Fir bhi galat answer diye aise kaise chalega\n""); } break; case 2: fake=num1; if(isEven(randomvariable)) fake=num1-1; Solution=fake-num2; printf(""subtraction of the two numbers is %d\n"",Solution); printf(""Is the answer Correct yes or no ??(1/0)\n""); scanf(""%d"",&option); if(option==1 && num1-num2!=Solution) printf(""Bade heavy driver ho ji\n""); else if(option==1 && num1-num2==Solution) printf(""Thikke sahi answer hai\n""); else if(option==0 && num1-num2==Solution) printf(""Sahi answer to diye hai\n""); else if(option==0 && num1-num2!=Solution){ printf(""Fir sahai answer kya hai ?\n""); scanf(""%d"",&fake); if(fake==num1-num2) printf(""Sahi answer hai\n""); else printf(""Fir bhi galat answer diye aise kaise chalega\n""); } break; } }while(choice!=6); return 0; } just run the program and dont see it see it afterwards",that's intentional?
Are option as in 1 or 2 Why are you putting 12,it doesnt say what it is takng I thought it is taking 3 nums tho that's pretty cool it made it smile
Put two numbers and the option,ha kiya mene you sure are bored
Yaaa Yepp I'll do it for other operators also later,sure
Yeah,atleast make a website for you l3pp
I did,instead of c do tp in web
I have to make some changes to my resume website,nice
Yeah,sir said do UIUX in app literally
Wow We haven't started css yet Then he'll tell us too,Devansh iska print Lana he ma'am bole Kal ke liye
Kyu ?,For probability Ma'am said she wanted atleast 1  physical copies in a group
Okk Leke aau print?,Haa aur ye hame suns me lagega In exam they will provide this tables Tho for our practice we should have it as well
Okk I'll get it Wow That's fast,Yaa
👍🏼 3 bhi,You deleted this message You deleted this message You deleted this message You deleted this message You deleted this message You deleted this message You deleted this message You deleted this message You deleted this message Good luck finding what you need
What https://youtu.be/7VcdptiQcT0?si=NPn9EOHKBT28O7rF https://youtu.be/i0JesTevAcA?si=OgZ2-VGEWLnnlZbu,Sai
i have the source code for this but i dont know how to run this,😅 Kal thektehe College me leke aaa
Laptop ?,Ha Varna pc nahi milega We don't have lab
Yeah Ok I'll bring it,Mahavir sir ahe he
ok Hi 133 143 132 141 DSE 04 01 05 03 06 02,Suu che? Temna suu joye che? Admission form?
Admission form ?,Jone Form barvanu che Khabar nathi Kam joye che
Ha bharvanu che 8 pachi,devansh chat me gale mat de exam mate joye che?
Gali nathi,joyo python likha? mena nahi likha kal assignment likhek check karva dunga dbms likhna padega
ha mujhe bhi,"<Media omitted> 05/04/2024, 10:00 am - You pinned a message Thanks Thanks 7th wala?"
Nahi hai usme,Tune kiya he kya 7th?
nahi likha hai,Acha Django ka part he kya?
Haaa,Thik he thekta hu me
Haa,"""bye"" gujarati me kya bolte he?"
dekhnaa padega,puchle ek bar
Haa Puchta hu Kal aa raha hai ?,Session 1 ko araha hu Ek bar confirm karta hu
Okk 8 se 10 wala na,Ha Tu? Dono araha he?
Nhiii Soch raha tha Lekin ek ko hi rukta hu Tere saath nikal jaaunga,Acha thik he chalega
Haa,Dadar station ko milke sab eksath Jane Wale he na?
Sab kon ? Tu mei Shivam bass,Bass kon he?
Bass mera dost hai,Vo bhi araha he kya?
Haa,Chalega Sir ko bataya?
Haa,Thikhe phir Me bandra ko Chadta hu Varna ulta huga
Meko chalega Shivam ko puch le,Ha mene usko message dala he Shayad so Gaya he vo Vo bola kandivali se ek sath jayenge To tum dono dadar milke mujhe kandivali mil jana
Okk,Aaraha he na ajj? Blank paper ka kya karna he?
Haa Blank paper?,Ha for printout?
Om ke pass hai,Araha he kya vo ajj?
Ha,Thanks. Mera paper ka leke. Likh uspehe
Haaokk,saina
Wow error,...
what of that,Put the strings In command line argument
ohhhh,Puch le sir ko
Kyaa,Optional subjects Jo he vunke bareme ADBMS aur IP na?
Haa Okk To adbms Lena hai ?,Sir bole to Lena he
Chalse,Haa 😂
Donation......,😂😂 Gatar me donation 😂😂
Sahi 😂😂,Kyu bhetehe hum?
Kya pata,College me ADBMS kon sikha ta he?
Mostly pankaj sir,puchke thekte he ekbar college me
Haa python me hai chalse na python and mysqlute3 mysqlite3 isme budget set nahi ho raha baki ho gaya hai https://youtu.be/8eh23-8s6H8?si=7csBzrBS-COv1kwF,Devansh project degrade hote ja Raha he 😅 Node ka nahi hua kya?
Nahi ho raha Try karta hu wapis,Kyu? Back end ka kuch download karna tha kya?
Haaa,Connect barabar Kiya?
Online karna hai download nahi Nahi ho raha wohi Kaise karu nahi samajh raha,Chiranjiv ko puchke thek Varna ekbar
Puchu kya ?,Ha puchle na. Use pata he kya how to connect vo wala database with node Lekin achese puchana
Tu puchna,Vo Tera PT he aur me puchu
Puchna re Meko nahi pata kaise puchu,Kya connect karna he?
Node ko database se,So send him Bhaiya how can we connect database with node program?
Are unko achese kaise puchu nahi pata,Devansh mujhe project ke bareme nahi pata he 😅
Mujhe bhi kaha kuch pata hai Unko bol ki humne files download ki hai Run hua lekin database kaise connect kare nahi samajh raha Entries nahi le raha,Dalta hu me message vune Chod Varna sir ko pata chal Gaya to Gaye hum
Ha wohi Dekhta hu Mai kuch,Are tujhe kuch nahi bolenge
Kyu ?,Kyuki vo tujhe sekhate he Practice trainer So you can ask this doubts
Areeee to mai puchu ?,Ask in a way that it looks like you are curious
Mujhe message likh ke bhej Mai bhejta hu unhe,How to connect database in a node program? I have been trying to do that for my mini project but can't figure it out Add bhaiya before all that
Haa,And be respectful to him
Ha ofcourse https://invoice08042024.netlify.app/invoice,Suche?
Dekhto,Bill? Sai he
Yehi haina unka number Le Bas ?,Ha 😊
29k wow,kahape? woah kya he vo ??
Node wala,package?
Pehele se tha usme,me dar gaya. devansh 29k lines ka program likh raha he karke kuch bole bhaiya?
Nhi Wo pehele wala bhi run nahi ho raha abhi to,kyu?
Kya pata Nhi ho raha Saare commands try kiye,naya folder bana ke tehk thek maybe ho jye
Kiya try Nahi ho raha wo 2 baje ke baad meeting leke batayenge,Chalega me bhe ayu kya? Chalega thekle Vo shayad collectivity bata denge
haa dekhte hai,Om ne reply Diya kya?
Maine message hi nahi kiya,Mera message he nahi theka
Ha wo nahi dekhta,Message tu bhe dalke rack To call kare?
Haa dala maine Karde,Kya bollu usko call kar devansh ko? 😂
Mera message dekhne bol,Yvast he Om ne theka kya?
Message dekha Kuch reply nahi kiya,Call karle phir
Mai nhi kar raha Kal ke print ke liye pages leke aa Bohot saare,Abhe sab band ho gaya hoga
Subah,Subah khulla hona chahiye Hua to leke ata hu
Haaa,Ek bandal
Mai bhi dekhta hu Formal pehenke aa,Thik he
Haa,Kyu? Ma'am ne bola he kya?
Haa,Late ho jayga Varna paper nahi la paunga
Kya de raha hai domain ? Internship ke liye ?,Sir ko puchana padega
Thikke,We don't care what type of internship it is. Till the time we get stipend or ppo Abhe yadd aya
Kya? Yeah that's true We should tell them that any is fine But we should still ask sir,Ok
Yeah Boldete hai kya kuch ? Pareshan karte rahega wo,To bolde web me boltahu app
Java development bhi add kar,Me nahi kar raha Java development
Kyu ?,Nahi karna Java development mujhe
Jitne jyada choices utne jyada chances internship milneke Apneko stipend ya PPO se matlab haina,Or let's message sir we are only interested in stipend or ppo internships
Abe 😂😂 Pagal samjhenge,?? Kyu?
Aise koi nhi bolta,Kyu? Bina stipend or ppo ke intership kar lega?
Nahi To sir ko personal PE message kar Group PE nahi,Ha group PE nahi bol Raha tha
Ha to thikke Aisa bolte hai ki We are looking for PPO or stipend internship But we are not looking for any specific domain,Varna sir ko call karna he kya?
Apne sir ko ?,Ha
Ha chalega Kar call aur mujhe conference pe le,null
null null null Kya bole sir,Message nahi theka he
Acha thikke Ki baat sir se ?,Nahi Sir ne message nahi dheka he Abhe tak
acha thikke dekhte hai kyurem is better or garchomp ?,I have no idea just search online
I caught a kyurem,Woah
yeah,Is to random?
it was in a cave,Or guaranteed encounter? So random huh Those are pretty good encounters
yeah i know right i was roaming in that place for half an hour just for kyurem,You deleted this message Atleast you got him 😂😂
yeah then another 15 mins trying to catch him i used around 70 ultra balls,Was he even worth 70?
I guess His health is 289 at level 75,is it good?
Yeah,Sir aye to message kar mujhe null
null null null,5minute me message karta hu
Ha chalega,Sir I don't mind any domains for internship until it provides either a stipend or PPO <This message was edited> ye kesa he?
Haa chalega,Bhejte he phir
Haa Pehele bata kon hai I am Devansh from your mentor batch,Acha veshe Chalega I am Amey from your mentor batch
Haa Hello sir I am Devansh Mayatra from your mentor batch For wo message,Thek he
Ha,Bhej tune?
Haa,Thikhe I am open to interning in any domain as long as it offers either a stipend or the possibility of a pre-placement offer (PPO). ye edit karke dal de null
Ho gaya,Great
Yep,Sir ne bheja update on group Abhe?
Ha same Kya karna hai ?,pata nahi ishe liye tujhe pucha
Daaldete hai na,kya dalega?
Same copy paste Sir vir hata de,varna sir ko kal puchete he
Ha thikke Milte hai sir ko,Chalega
Ha,Dadar ko pohochane ke liye tujhe kitna time lagta he bus se? College to Dadar station?
20-25 mins,Chalega Tu kal araha he sir ne bola tha vaha?
Dekhta hu 9B3AMTCQZYQ9 EAKA5BU9HHRM WTKBMBD8ZZRZ,Mila thanks Me abhe 12 ko ghar aya
Waah,Hololab me mile codes
Okk,Ha kharahe the hum bohot sara
Kya khaya,Sirf region dalo aur redeem
Oh sahi,Are khau galee me Gaye the
Ohhh,"To pav bhaji, sandwich, dhai Puri, dosa, etc"
Ohhh,Ha hum sab lunch karke aye Phir seda 10 ko gaya Sab mare the
Ha to bhuk lagi hogi,Ana chaheye tha Chiranjiv bhe aya tha
Haa dekha photo,Ha
Haa next time,Jarur
Haa,Chalel phir *chal Gn
Haa,Me soooooraha hu
Gn Mai bhi,Me phone charge hone ke liye bheta hu Chaleye miltehe Sunday
Haa chalega,Kal Jai puch raha tha devansh ki girlfriend he kya Usne tere story par thekha tha
Haa dekha hoga Kya bola tune ?,Ha bola
Sir ne nahi suna na,Sir thabe melehe nahi the
Acha to fir thikke,Lekin usko mene sirf ha bola details nahi deye
Acha thikke chalega,8104066957 Ravi Pande Sir's number vinayak sirrani kaal dilela ha number tya number varti message karaycha aahe ki  I am ready for database and notes updates agar interested he to bhejde name sir ko
Okk Tune kya message Kiya hai bata Fir I'll send,Kiya he mene message
Okk Maine bhi kardiya,Jandu logo reply bhe nahi kiya kuch
Kisne ?,Tune
Acha okk,Nind me he?
Haa,😂😂
Solve kar raha hu abhi,Acha kar kar
Haq,Me bhe NLPP ka last 6 kar raha hu
Okk Chalse,WhatsApp ne 'online' aur 'typing' ka first letter  capital me kar diya.
Kardiya matlab ? Pehele chota tha ?,Ha Pehele 'typing' aur 'online' tha
Achaa,Abhe 'Online' aur 'Typing' ho gaya
Ohhh https://drive.google.com/drive/folders/1pCpCWz8leswq-JJ8CLJJM1VRqWCNyEju You will find bunch of excel files here You guys need to update the cutoffs in each excel For all categories use this except ai For ai use this From Ravi sir for data entry,Contact kshitij and kaustubh regarding the same
Already did,Ask them if they are free today before our session
Haa,And then tell sir accordingly Hamara kabhi bhe chalega
Haa Kaustubh ha bola Kshitij 2 3 din nahi kar paayega kuch bola wo,Batade sir ko ki ek Jan 2-3 din nahi kar payega Bakeke 2 junko chalega
Haa Raat ko 9:30 ke baad meeting mai milenge sir ke saath,Chalega null
null https://www.mahafra.org/?q=home,https://ay24-25.mahafraportal.org/ssi_prp_23/outer.php?q=fee_search_report Kiya kuch DBMS?
Nhi Karna hai,Thik he thekle mujhe kuch cheze nahi samje Thekna padega
Acha thikke,Pehele OS complete kar raha hu abhe
Kya nahi samjha ? Acha okk OS ka kya kya kar raha hai mujhe bhi bata,View vala aur normalization ke sums
Okk,Sums aur phir theory
Okk Pokémon Omega ruby randomizer ?,Chalega lekin mere phone PE nahi chala dha omega ruby Is it with latios?
the blue one Laptop pe khelte hai na,Ha chalega Video hoga to bhej de download ke liye yaphir tujhe batana padega
citra ka link bhejta hu download karke setup karde,Chalega
OR ka bhi bhejta hu https://www.ducumon.click/2020/04/pokemoner-omega-ruby-randomizer.html,.html? kya bhej raha he?
chal nahi raha ?,You deleted this message
https://drive.google.com/file/d/14Rl-xgbqqnG_-IHTRS8_jMes1XTd8hVa/view?usp=drivesdk Citra ke liye,virus  nahi he na?
nhii,thik he
mere laptop pe bohot time se  hai aur wo mere drive pw hai,cheats use kar sathe he kya? for rc?
pata nhi maine try nhi kiya https://www.ducumon.click/2020/04/pokemoner-omega-ruby-randomizer,nahi ho raha he
ducumon pe jaake search kar Pokémon Omega ruby randomizer,documon bhe nahi khul raha he security reasons
ohh okk,ha abhe?
dusra koi website try karta hu https://happyroms.com/pokemon-omega-ruby-randomizer/ try kar,ho raha he 1.5GB
1.15 haa,ha 1.15
karte hai download ?,ha ho raha he
okk,hone ke badd message karta hu
okk kitna time bata raha hai ?,10min'
okk mujhe 15 hours,restart kar
haa,tera bohot sara data ja raha he
haa karta hu mai abhi jana padega puja hai,acha chalega me dhekta hu cheat for rc
rc ?,rare candy btw ajj milke kartehe database ka kam kaustubh ko bhe bata de
haa aaj karte hai mai pichle wale website se kar raha hu dono same hi hai mere isme uska kuch issue hai,chalega
3 days dikha raha hai abh,😂😂
ha bhai dusra koi dekhta hu sun moon chalega ?,Where to extract the game folder? ...
are rukk i cant download it on my pc aur links bhi nahi mill rahe,Chalega lekin mujhe to bata konsa folder me extract Karu? Cetra ke?
nhi koi bhi kar,To citra ke foldel me dal du?
fir tujhe citra se wo folder dhundhna padega jarurat nhi hai,Lekin dal sactehe na?
ha shayad maine try nahi kiya kabhi,nahi arahe
select folder kar,nahi araha
mera idher hi hai downloads me,mujhe ase araha he
nhi bass pokemon select kar folder,abhe?
aise select karneka extract kiya ?,ye sab aya
ohh ye kya hai pata hai,nahi
omga ruby alag se download karna padega fir usme files daalne pedenge read me padh mujhe ss bhej,it says thank you
bas?,"This game is hacked by Pokemoner.com. and you downloaded from Pokemoner.com. If you want to share this game, you should share with dl.pokemoner.com or pokemoner.com. If you want to upload this. remember to write this game is hacked by hacked by Pokemoner.com. thank you!"
first file pe click kar,to ruby download karu?
rukk mujhe pehele download karne de,"thik he app kijeye download phir hame bata dena Brief guide that can help along some youtube videos if you are having a lot of trouble. You need: The game in .3ds, Pk3ds and Packhacks. 1- Create a folder named Randomizer. 2- Copy and paste the game inside. 3- Create a subfolder (inside randomizer)named Pk3ds and extract pk3ds inside. 4- Create another subfolder (inside randomizer) named Packhacks and extract packhacks inside. 5- Create another subfolder (inside randomizer) and name it New (this one is only where you will randomize stuff in and is most of the time empty). 6- Install packhacks. 7- Copy the game again and paste it inside packhacks (you will have 3 .exe files and the game.3ds). 8- Open the filemodifier (1 of the .exe) and decompile the .3ds file. (This is done by typing on the prompt 'd' then typing the file name and confirming with 'y'. 9- Copy everything inside packhacks and paste on new folder. 10- Go to pk3ds and open the .exe. 11 - Select the entire new folder and start randomizing. 12- Copy Extracted Rom (I cant remember the correct name / Will edit when I turn on my computer) abd paste it inside packhacks again (It will say that there are a lot of stuff that wants to replace so do it). 13- Open packhacks .exe again and and rebuild the file using the 'r' option. 14- When ita rebuile you will have a new .3ds with the name filename_edited.3ds (file name is the name of your file). 15- Rename the file and put it on citra and test it. 16- Delete everything inside new and use the cleantool inside packhacks to clean the folder. Ps: You dont need to delete everything inside new because you can just keep randomizing the same file there and just keep pasting the extracted rom inside packhacks and rebuilding it again. ye mila mujhe"
kahase ?,reddit
okk mera pokemon moon randomizer download ho raha hai wo setup hua to batata hu,Chalega Par moon acha game he kya?
haa maine suna to hai search ultra moon hai,Chalega ghelte he
DONE,randomized?
yeah,tell me how to do it after lecture
https://romsfun.com/roms/3ds/pokemon-ultra-moon-randomizer-sleeplocke.html okk call karna lecture mai hai tu ?,ha
okk,download karu ye?
haa,1hr
its 1.6 gb,ha
keep trying agar nhi hoga to kuch aur dekhna padega,thik he
haa,45 minutes
okk hoga matlab,ha
haa,abhe? me badme call karta hu dinner time
Open that in citra The same path as above,ho gaya?
Ha Now play,fullscreen nahi he?
You can customise that Go in view,ok will do that later will eat now
Okk,null null
1-4-7-10-13,khela tune game?
nhi chalu nhi kiya,Acha chalega
haa abhi to database ka karna haina karde meet Kaustubh bhi aa raha hai,Chalega bhejta hu me link https://us04web.zoom.us/j/76522468171?pwd=FT8WFdaY4ZD1nyZZsQPrJuTLoalrV5.1
kaustubh ko bhi bhej,bheja
okk,bana naya meeting
https://meet.google.com/bvj-dndg-txy,sooo gaya devansh <This message was edited> uthene ke baad agar message theka to good night (agar night hoga to) mera 82 hua he more 40 left ye bohot bada he r
haa bohot bada hai Rizvi Aaj coll ge gaya,??
Aaj chutti haina Usko laga Aaj paper hai,Acha
Haa College gaya wo Game kabhi chalu karna hai ?,Kam khatam karne ke baad MuP padna bhe he na?
haa kaisa hai ?,Acha he. Formal thek raha he Refined
haa,Sun he na ko game?
MOON,Usme konsa legendary milta he?
ultra moon hai,sun?
ye milega,acha he vo?
haa,khelna he abhe?
10 min rukk mai assignment upload karta hu,abhe vo options nahi theka raha
cross pe daba esc,nahi ho raha he
exit karke wapis try kar https://myresume-16012005v3.netlify.app/,nahi horaha kiya try center align kar
Nahi ho raha Gadbad ho Jaa Raha hai Tune Citra qt hi open Kiya na mera aa raha hai kya kiya re tune,yadd nahi kuch to in view
Crtl q try kar,nahi hua
mera bhi ho gaya,ho gaya
Kaise kiya,change citra settings emulator- configuration- graphics
Usme kya,default kar sab ya phir acording how you want
Ho gaya Isme cheats daal sakte hai,ha thkena padega kese
Are view me jaa Full screen off kar,mera view bhenahi raha
Bahar nikal ke kar Citra ke main page pe Ye rakh,Are vie wnahi araha he
Citra ka main page Bahar nikal ke,aya pura reset kiya mene
Game gaya ? null devansh.mayatra,Kya hua?
mujhe laga tune cut kiya,Reconnecting issue Game laggy ho gaya
okk second sencounter null,It hanged before save
So you didn't save ?,Still locked
Wow,Yaa I am giving up Too much work now
Okk Should I search for another game or not?,For now don't. Exam and submissions
Yeah okk So can I continue my game ?,Ha kar na
Okk,Tu diamond lele me pearl leta hu. To we won't have same things. Even if it's not randomised it's fine
Okk chalega im trying pokemon sword kia tune download ? pearl ?,Nahi Kal thekte he
okk Mup ka assignment bhej na mapping wala sum,Vinayak sir ko boltehe 1-2 Jun aur le letehe Atleast 1 more
Haa,Tujhe 19/20 in Maths4 Question1 ke 1 me ghan kiya
Haa Pura solve nahi kiya tha null Sunnn Koi puchega to Mai tere gharpe hu,Kaha pe he tu? null
Bahar,Ghar janeke baad call karna Ye he kya tere pas ki nahi?
Nhi,College kabhe se chalu hua?
Chalu ho jata hai,Are date
Lekin labs 9 baje khulte hai 8th January,For date entries in log book
Ha,Late huga mujhe Me abhe utha Vuske liye he call Kiya tha
Okk https://operationidroid.com/pokemonblack2normal.html Try all the download links it will start downloading,Kal karta hu Phone PE karna he?
haaa data bhi bharna hai,Aur 3ds?
drastic,Haa
nds,Chalega Konsa download karna he? Tune konsa kiya?
Konsa matlab ? 3 options hai na Haa,Tune konsa kiya? I will do different one then
Teeno PE dabayega to page not found aayega,😂😂
To baar baar randomly daba Automatically ho jaayega download chalu,Tera konsa he?
Pata nhi randomly kiya 2nd wala shayad,Me 1st Wale pe dabate raheta hu
Okk,First try
Ho jaayega Ho gaya ?,Ha 1st try
Nice,Nds ka link he?
This message was deleted https://drastic.en.uptodown.com/android/post-download/126707726 Good good We'll have to put cheats in it Rate candy,Ha we can put it later Tho I hope we downloaded different randomiser
Do we need master ball ?,I mean then all encounters will be guaranteed
And instead of rate candy we can do exp multiplier Yaa All the cheats are in hexadecimal you know,Then we might overlevel you know Rare candy is controlled lvling
ya true,All my starters are decent xD
starters ?,Ha
you started ?,Haa
ohkk,I won't be playing alot tho
okk,Have to do Android
okk then tell me when you play next ill start theb thtn,"I got mawile My options were kidda bad mawile, skitty, voltorb"
mawile ie better than rest steel type atleast,Yaa that's why I choose mawile
yaa,I played till catching first Pokemon
ohh i got bastiodon,Ahh he is good
Group or rock type https://data-flair.training/blogs/expense-tracker-python/,"'pip' is not recognized as an internal or external command, operable program or batch file."
BASTIODON charmander,damn lucky I got this guy wanna continue?
Yeah I saw Yepp,will start then
Ive saved at the Pokemon centre in that town,I hope I have some good encounters in future
Ya but if your cloyster dies then charmander also dies na,I didn't saved my progress Ha
You didn't ?,Oh It did saved my progress
Ya it saves it,Rare candy's cheat?
94000130 FFFB0000 B2000024 00000000 00019550 03840032 I found this,Rare candy?
Yep It gives 900 rc,Which one?
which one ?,Which one of them give rc?
thats the full code copy full,How to activate it?
go to menu custom cheats,Done Then?
then press select and all buttons start and all buttons,All buttons? In any order?
arrows  a b x y any order would do actually only one works but i dont know which one then check your bag,😂😂 Got it 900
good yeah,If I do onces one do I get 1800?
maybe,I don't get 1800 Well I will lvl up till 7 Then continue
it gives another 900,Oh then maybe I did it wrong Well let's share our next encounter and if anyone does *dies
so no sharing till now ?,We are sharing
alright and lets keep a level cab for every gym since we have rare candy,Mawile to bastiodon Cloystar to charmender
yepp,What's lvl cap for gym 1? 14?
every gym,"<Media omitted> 20/04/2024, 7:07 pm - You pinned a message"
okk,Woah 1 and 2 have really close caps
+1?,??
gym leader +1? cap,No gym leader Ace lvl is cap *next Ohh no
so for now its 13 ?,Yaa
okk,I meant to say next gym leader's ace's level is lvl cap
yeah so the level cap will go in that same order,Ya
okk,And if you overlvl then that Pokemon is benched till you get over the lvl cap You deleted this message 😂
waaah,On next route
my phone is on charge nice nice ill start in 10 15 mins,A random girl brought out a blaziken and haxarus
what,😂😂 Yaa
so i have to start again too ?,Yaa Well all 3 Pokemons died
great,😂😂 Tho that girl is crazy
waah,A two legged chicken and a dragon
punching chicken,My apologies
yes yes,It has same Pokemon even if I start over
It does ?,Yaa It doesn't randomised on run time It is already set They changed it manually
Let's do one thing Delete it and extract it again,It will be same
How ?,They have specified on their site It will be same if I wish to change playthough download another randomised from 3 Tho let's try It's same I tried
Is it So what to do ?,Continue it Since it is a randomiser
Continue?,And it's not guaranteed that our encounters will be same
Yaa,Continue same randomiser but restart progress
Okk,Press and hold up + select +B On screen where you see legendary to delete your data and restart
To do what ?,Clear data Or else you can't save on your new game
"Where you see legendary,m ?",Title screen
Oh,It tells you to press start
Haa Haha Haha Haha Haha Rigged,You restarted? Starter? Woah
Yeah Same,Not gonna restart?
It's restarted Starter same,It is a encounter? Woah
Yeah,What do I do? Go for pokeball or run? If I don't catch and die it's reset Or we loss your electrivire null
Pokeball,Death 😂😂
Restart ?,Yaa it is so small chance to catch a legendary with pokeball
You know I thought I would be the one to die the most,😂😂 Let me tell yah something I can't pick miwale Since my rival pick skitty and it is normal type
Waah,The only attack miwale learn is ghoust ttpe So it's guaranteed death
Waaah,Yaa will go with voltorb
Yaa You defeat the first gym Then I'll start,😂😂 We cant do that What if I died *u
Hmmm,Saysthe guy who died twice
Yeah Just don't die,I will try
I defeated an infernape earlier Ya,You have good starter atleast Who do u have for.starter choices? This starters are so bad 1) Mawile will die to skitty cuz of typing 2) voltorb will die to mawile cuz of not very effective tackle and mawile does alot of dmg 3) skitty will die to voltorb cuz skitty sucks 😂😂 Their is no way around
You..... Good thing I didn't go ahead,Should I change to another randomiser? What is your randomiser number? 2 or 3?
Yeah Do that,Your number? Check the zip.file
Mine is 2,Ok
Omega Ruby randomizer ?,Ye wala he karte he na Vo phir lag hua to?
To pehele first gym Tak pohochke bata,I had choices from mudkip togrtic and a rock Pokemon I got mudkip
Good Don't die,Run or catch?
Catch,I hope no one shot
Yeah,Pokeballs are so bad It is so impossible to catch this Pokemon I am at last 2
Yeah I know,Not even single tick Just breaks
I once used 30 ultraballs to catch a kyurem,Ikr Should I just kill?
Then I can't catch a pkmn there,Almost.
We'll either way I wouldn't be able too,3 ticks but no star Yaa
What if you run ?,No Pokemon there
Kill it,Why? For xp?
Do you have another choice?,No
